cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
314    768    sext            64     0    53       11    
315    769    load            64     0    55       9     
316    770    getelementptr   64     0    56       8     
317    771    load            8      0    0        8     
318    772    sext            32     0    0        32    
319    773    icmp            1      0    1        0     
320    775    phi             1      0    1        0     
321    777    load            32     1    20       11    
322    778    sext            64     1    52       11    
323    779    load            64     1    51       12    
324    780    getelementptr   64     1    50       13    
325    781    load            8      0    0        8     
326    782    sext            32     0    0        32    
327    783    icmp            1      1    0        0     
328    790    load            64     15   49       0     
329    49     alloca          64     1    50       13    
330    50     alloca          64     3    50       11    
331    51     alloca          64     0    49       15    
332    54     load            64     0    52       12    
333    55     load            32     0    20       12    
334    56     sext            64     0    52       12    
335    57     load            64     0    49       15    
336    58     getelementptr   64     0    49       15    
337    59     load            8      0    0        8     
338    60     sext            32     0    0        32    
339    61     icmp            1      1    0        0     
340    63     load            64     1    57       6     
341    64     load            32     12   20       0     
342    65     sext            64     12   52       0     
343    66     load            64     14   50       0     
344    67     getelementptr   64     13   51       0     
345    68     load            8      8    0        0     
346    121    load            8      8    0        0     
347    791    call            8      8    0        0     
348    793    load            8      8    0        0     
349    794    sext            32     8    0        24    
350    795    load            64     13   51       0     
351    15     alloca          64     2    48       14    
352    16     alloca          64     2    51       11    
353    17     alloca          64     3    53       8     
354    18     alloca          64     1    51       12    
355    19     alloca          64     0    50       14    
356    20     trunc           8      8    0        0     
357    25     load            64     8    49       7     
358    26     load            32     24   0        8     
359    27     load            32     1    0        31    
360    28     icmp            1      1    0        0     
361    32     load            8      8    0        0     
362    33     load            64     0    58       6     
363    34     load            32     14   18       0     
364    35     sext            64     13   51       0     
365    36     load            64     16   48       0     
366    37     getelementptr   64     16   48       0     
367    39     load            64     0    56       8     
368    40     load            32     7    25       0     
369    41     add             32     7    25       0     
370    42     load            64     12   52       0     
371    46     load            8      0    0        8     
372    47     sext            32     0    0        32    
373    796    call            32     0    0        32    
374    797    trunc           8      0    0        8     
375    800    load            32     10   22       0     
376    801    add             32     10   22       0     
377    757    load            32     0    20       12    
378    758    sext            64     0    52       12    
379    759    load            64     0    54       10    
380    760    getelementptr   64     0    54       10    
381    761    load            8      0    0        8     
382    762    sext            32     0    0        32    
383    763    load            8      0    0        8     
384    764    sext            32     0    0        32    
385    765    icmp            1      0    1        0     
386    767    load            32     0    20       12    
387    768    sext            64     0    52       12    
388    769    load            64     0    54       10    
389    770    getelementptr   64     0    54       10    
390    771    load            8      0    0        8     
391    772    sext            32     0    0        32    
392    773    icmp            1      0    1        0     
393    775    phi             1      0    1        0     
394    777    load            32     12   20       0     
395    778    sext            64     12   52       0     
396    779    load            64     16   48       0     
397    780    getelementptr   64     15   49       0     
398    781    load            8      8    0        0     
399    782    sext            32     32   0        0     
400    783    icmp            1      1    0        0     
401    785    load            64     13   51       0     
402    15     alloca          64     0    49       15    
403    16     alloca          64     1    52       11    
404    17     alloca          64     3    52       9     
405    18     alloca          64     2    51       11    
406    19     alloca          64     0    49       15    
407    20     trunc           8      8    0        0     
408    25     load            64     8    49       7     
409    26     load            32     24   0        8     
410    27     load            32     1    0        31    
411    28     icmp            1      1    0        0     
412    32     load            8      8    0        0     
413    33     load            64     4    60       0     
414    34     load            32     14   18       0     
415    35     sext            64     14   50       0     
416    36     load            64     14   50       0     
417    37     getelementptr   64     14   50       0     
418    39     load            64     6    58       0     
419    40     load            32     1    25       6     
420    41     add             32     1    25       6     
421    42     load            64     9    55       0     
422    46     load            8      0    0        8     
423    47     sext            32     0    0        32    
424    786    call            32     0    0        32    
425    787    trunc           8      0    0        8     
426    800    load            32     10   22       0     
427    801    add             32     10   22       0     
428    757    load            32     0    20       12    
429    758    sext            64     0    52       12    
430    759    load            64     0    49       15    
431    760    getelementptr   64     0    50       14    
432    761    load            8      0    0        8     
433    762    sext            32     0    0        32    
434    763    load            8      0    0        8     
435    764    sext            32     0    0        32    
436    765    icmp            1      0    0        1     
437    775    phi             1      0    0        1     
438    804    load            32     0    32       0     
439    805    sext            64     0    64       0     
440    806    load            64     0    58       6     
441    807    getelementptr   64     0    58       6     
442    808    load            8      0    8        0     
443    809    sext            32     0    32       0     
444    810    load            8      0    8        0     
445    811    sext            32     0    32       0     
446    812    icmp            1      0    1        0     
447    816    load            64     0    48       16    
448    15     alloca          64     0    49       15    
449    16     alloca          64     1    48       15    
450    17     alloca          64     0    51       13    
451    18     alloca          64     1    53       10    
452    19     alloca          64     0    49       15    
453    20     trunc           8      8    0        0     
454    25     load            64     0    61       3     
455    26     load            32     0    24       8     
456    27     load            32     0    1        31    
457    28     icmp            1      0    1        0     
458    32     load            8      8    0        0     
459    33     load            64     7    57       0     
460    34     load            32     1    19       12    
461    35     sext            64     1    51       12    
462    36     load            64     0    49       15    
463    37     getelementptr   64     1    49       14    
464    39     load            64     0    47       17    
465    40     load            32     0    0        32    
466    41     add             32     0    0        32    
467    42     load            64     0    50       14    
468    46     load            8      0    1        7     
469    47     sext            32     0    1        31    
470    817    call            32     0    1        31    
471    818    trunc           8      0    1        7     
472    820    load            8      0    1        7     
473    821    icmp            1      0    1        0     
474    825    load            32     0    2        30    
475    829    load            32     0    2        30    
476    838    call            32     0    2        30    
477    840    load            32     0    2        30    
478    841    icmp            1      0    1        0     
479    842    zext            32     0    1        31    
480    843    trunc           8      0    1        7     
481    1413   call            8      0    1        7     
482    1415   load            8      0    1        7     
483    1416   icmp            1      0    1        0     
484    1426   getelementptr   64     6    58       0     
485    1427   getelementptr   64     17   47       0     
486    1354   alloca          64     0    49       15    
487    1355   alloca          64     2    51       11    
488    1356   alloca          64     1    51       12    
489    1357   alloca          64     0    50       14    
490    1360   getelementptr   64     16   48       0     
491    0      alloca          64     0    50       14    
492    1      alloca          64     2    49       13    
493    2      alloca          64     1    51       12    
494    5      load            64     16   48       0     
495    6      load            32     1    0        31    
496    7      load            64     0    64       0     
497    8      call            64     0    0        64    
498    10     load            64     0    0        64    
499    11     icmp            1      1    0        0     
500    12     zext            32     1    0        31    
501    13     trunc           8      1    0        7     
502    1361   call            8      1    0        7     
503    1364   load            8      1    0        7     
504    1365   icmp            1      1    0        0     
505    1367   getelementptr   64     17   47       0     
506    1368   load            64     8    56       0     
507    1369   load            64     17   47       0     
508    1290   alloca          64     1    50       13    
509    1291   alloca          64     2    53       9     
510    1292   alloca          64     3    51       10    
511    1293   alloca          64     3    52       9     
512    1294   alloca          64     1    51       12    
513    1295   alloca          64     1    55       8     
514    1302   load            32     4    19       9     
515    1303   sext            64     4    51       9     
516    1304   load            64     3    49       12    
517    1305   getelementptr   64     5    49       10    
518    1306   load            8      1    0        7     
519    1307   sext            32     1    0        31    
520    1308   icmp            1      1    0        0     
521    1310   load            64     1    46       17    
522    1311   load            32     1    19       12    
523    1312   load            64     6    58       0     
524    1102   alloca          64     1    50       13    
525    1103   alloca          64     0    49       15    
526    1104   alloca          64     0    54       10    
527    1105   alloca          64     1    49       14    
528    1106   alloca          64     0    0        64    
529    1107   alloca          64     0    0        64    
530    1108   alloca          64     0    49       15    
531    1109   alloca          64     0    53       11    
532    1116   load            8      8    0        0     
533    1117   icmp            1      1    0        0     
534    1119   load            32     4    18       10    
535    1120   sext            64     3    50       11    
536    1121   load            64     5    48       11    
537    1122   getelementptr   64     4    49       11    
538    1123   load            8      0    0        8     
539    1124   sext            32     0    0        32    
540    1125   icmp            1      1    0        0     
541    1127   phi             1      1    0        0     
542    1129   load            32     0    18       14    
543    1130   sext            64     0    50       14    
544    1131   load            64     0    50       14    
545    1132   getelementptr   64     0    49       15    
546    1133   load            8      0    0        8     
547    1134   sext            32     0    0        32    
548    1135   icmp            1      1    0        0     
549    1205   load            64     1    47       16    
550    1206   load            64     1    63       0     
551    1207   load            32     1    31       0     
552    890    alloca          64     1    52       11    
553    891    alloca          64     1    52       11    
554    892    alloca          64     1    51       12    
555    893    alloca          64     0    52       12    
556    894    alloca          64     1    51       12    
557    895    alloca          64     0    49       15    
558    901    load            64     0    57       7     
559    902    load            32     0    19       13    
560    903    sext            64     0    51       13    
561    904    load            64     0    47       17    
562    905    getelementptr   64     0    49       15    
563    906    load            8      0    0        8     
564    907    sext            32     0    0        32    
565    908    icmp            1      0    0        1     
566    912    load            32     0    31       1     
567    913    sext            64     0    63       1     
568    914    load            64     0    63       1     
569    915    getelementptr   64     0    63       1     
570    916    load            8      0    8        0     
571    917    sext            32     0    8        24    
572    480    alloca          64     0    52       12    
573    481    trunc           8      0    8        0     
574    483    load            8      0    8        0     
575    484    sext            32     0    32       0     
576    485    icmp            1      0    1        0     
577    511    phi             1      0    1        0     
578    512    zext            32     0    1        31    
579    513    trunc           8      0    1        7     
580    918    call            8      0    1        7     
581    919    icmp            1      0    1        0     
582    925    load            32     1    31       0     
583    926    sext            64     1    63       0     
584    927    load            64     1    63       0     
585    928    getelementptr   64     1    63       0     
586    929    load            8      0    8        0     
587    930    sext            32     0    32       0     
588    932    load            64     0    58       6     
589    933    load            32     1    18       13    
590    934    sext            64     1    51       12    
591    935    load            64     1    48       15    
592    936    getelementptr   64     1    50       13    
593    937    load            8      0    0        8     
594    938    sext            32     0    0        32    
595    939    load            32     0    19       13    
596    940    add             32     0    18       14    
597    941    sext            64     0    50       14    
598    942    load            64     0    49       15    
599    943    getelementptr   64     0    50       14    
600    944    load            8      0    0        8     
601    945    sext            32     0    0        32    
602    946    icmp            1      1    0        0     
603    1033   load            8      1    0        7     
604    1034   sext            32     1    0        31    
605    1035   icmp            1      1    0        0     
606    1048   load            8      8    0        0     
607    1208   call            8      8    0        0     
608    1210   load            8      8    0        0     
609    1211   icmp            1      1    0        0     
610    1116   load            8      0    0        8     
611    1117   icmp            1      0    0        1     
612    1127   phi             1      0    0        1     
613    1225   load            32     18   14       0     
614    1313   call            32     17   15       0     
615    1315   load            32     0    0        32    
616    1316   icmp            1      0    0        1     
617    1330   load            32     32   0        0     
618    1331   icmp            1      1    0        0     
619    1337   load            32     13   19       0     
620    1338   sext            64     14   50       0     
621    1339   load            64     16   48       0     
622    1340   getelementptr   64     16   48       0     
623    1341   load            8      8    0        0     
624    1342   sext            32     8    0        24    
625    1343   load            64     0    64       0     
626    1344   call            32     0    0        32    
627    1345   load            32     14   18       0     
628    1346   add             32     13   19       0     
629    1302   load            32     4    18       10    
630    1303   sext            64     4    50       10    
631    1304   load            64     7    49       8     
632    1305   getelementptr   64     7    48       9     
633    1306   load            8      0    0        8     
634    1307   sext            32     0    0        32    
635    1308   icmp            1      1    0        0     
636    1310   load            64     0    50       14    
637    1311   load            32     0    18       14    
638    1312   load            64     5    59       0     
639    1102   alloca          64     0    53       11    
640    1103   alloca          64     0    54       10    
641    1104   alloca          64     1    52       11    
642    1105   alloca          64     1    51       12    
643    1106   alloca          64     0    0        64    
644    1107   alloca          64     0    0        64    
645    1108   alloca          64     0    48       16    
646    1109   alloca          64     1    52       11    
647    1116   load            8      8    0        0     
648    1117   icmp            1      1    0        0     
649    1119   load            32     3    18       11    
650    1120   sext            64     1    51       12    
651    1121   load            64     3    49       12    
652    1122   getelementptr   64     6    49       9     
653    1123   load            8      0    0        8     
654    1124   sext            32     0    0        32    
655    1125   icmp            1      1    0        0     
656    1127   phi             1      1    0        0     
657    1129   load            32     0    18       14    
658    1130   sext            64     0    50       14    
659    1131   load            64     0    50       14    
660    1132   getelementptr   64     0    49       15    
661    1133   load            8      0    0        8     
662    1134   sext            32     0    0        32    
663    1135   icmp            1      1    0        0     
664    1205   load            64     0    49       15    
665    1206   load            64     1    63       0     
666    1207   load            32     1    31       0     
667    890    alloca          64     1    49       14    
668    891    alloca          64     1    55       8     
669    892    alloca          64     2    52       10    
670    893    alloca          64     0    52       12    
671    894    alloca          64     0    51       13    
672    895    alloca          64     0    49       15    
673    901    load            64     0    57       7     
674    902    load            32     0    19       13    
675    903    sext            64     0    50       14    
676    904    load            64     0    49       15    
677    905    getelementptr   64     0    49       15    
678    906    load            8      0    0        8     
679    907    sext            32     0    0        32    
680    908    icmp            1      0    0        1     
681    912    load            32     0    31       1     
682    913    sext            64     0    63       1     
683    914    load            64     0    63       1     
684    915    getelementptr   64     0    63       1     
685    916    load            8      0    8        0     
686    917    sext            32     0    8        24    
687    480    alloca          64     0    51       13    
688    481    trunc           8      0    8        0     
689    483    load            8      0    8        0     
690    484    sext            32     0    32       0     
691    485    icmp            1      0    1        0     
692    511    phi             1      0    1        0     
693    512    zext            32     0    1        31    
694    513    trunc           8      0    1        7     
695    918    call            8      0    1        7     
696    919    icmp            1      0    1        0     
697    925    load            32     1    31       0     
698    926    sext            64     1    63       0     
699    927    load            64     1    63       0     
700    928    getelementptr   64     1    63       0     
701    929    load            8      0    8        0     
702    930    sext            32     0    32       0     
703    932    load            64     0    58       6     
704    933    load            32     0    19       13    
705    934    sext            64     0    50       14    
706    935    load            64     0    50       14    
707    936    getelementptr   64     0    46       18    
708    937    load            8      0    0        8     
709    938    sext            32     0    0        32    
710    939    load            32     0    18       14    
711    940    add             32     0    18       14    
712    941    sext            64     0    51       13    
713    942    load            64     0    49       15    
714    943    getelementptr   64     0    47       17    
715    944    load            8      0    0        8     
716    945    sext            32     0    0        32    
717    946    icmp            1      1    0        0     
718    1033   load            8      1    0        7     
719    1034   sext            32     1    0        31    
720    1035   icmp            1      1    0        0     
721    1048   load            8      8    0        0     
722    1208   call            8      8    0        0     
723    1210   load            8      8    0        0     
724    1211   icmp            1      1    0        0     
725    1116   load            8      0    0        8     
726    1117   icmp            1      0    0        1     
727    1127   phi             1      0    0        1     
728    1225   load            32     18   14       0     
729    1313   call            32     17   15       0     
730    1315   load            32     0    0        32    
731    1316   icmp            1      0    0        1     
732    1330   load            32     32   0        0     
733    1331   icmp            1      1    0        0     
734    1337   load            32     16   16       0     
735    1338   sext            64     14   50       0     
736    1339   load            64     16   48       0     
737    1340   getelementptr   64     14   50       0     
738    1341   load            8      8    0        0     
739    1342   sext            32     8    0        24    
740    1343   load            64     0    64       0     
741    1344   call            32     0    0        32    
742    1345   load            32     13   19       0     
743    1346   add             32     14   18       0     
744    1302   load            32     5    18       9     
745    1303   sext            64     5    50       9     
746    1304   load            64     6    48       10    
747    1305   getelementptr   64     8    47       9     
748    1306   load            8      0    0        8     
749    1307   sext            32     0    0        32    
750    1308   icmp            1      1    0        0     
751    1310   load            64     0    48       16    
752    1311   load            32     0    17       15    
753    1312   load            64     9    55       0     
754    1102   alloca          64     0    51       13    
755    1103   alloca          64     0    52       12    
756    1104   alloca          64     0    50       14    
757    1105   alloca          64     2    49       13    
758    1106   alloca          64     0    0        64    
759    1107   alloca          64     0    0        64    
760    1108   alloca          64     0    49       15    
761    1109   alloca          64     1    51       12    
762    1116   load            8      8    0        0     
763    1117   icmp            1      1    0        0     
764    1119   load            32     3    19       10    
765    1120   sext            64     3    50       11    
766    1121   load            64     5    48       11    
767    1122   getelementptr   64     3    48       13    
768    1123   load            8      0    0        8     
769    1124   sext            32     0    0        32    
770    1125   icmp            1      1    0        0     
771    1127   phi             1      1    0        0     
772    1129   load            32     0    17       15    
773    1130   sext            64     0    51       13    
774    1131   load            64     0    48       16    
775    1132   getelementptr   64     0    48       16    
776    1133   load            8      0    0        8     
777    1134   sext            32     0    0        32    
778    1135   icmp            1      1    0        0     
779    1205   load            64     0    51       13    
780    1206   load            64     1    63       0     
781    1207   load            32     1    31       0     
782    890    alloca          64     0    48       16    
783    891    alloca          64     0    54       10    
784    892    alloca          64     1    53       10    
785    893    alloca          64     0    55       9     
786    894    alloca          64     1    51       12    
787    895    alloca          64     0    48       16    
788    901    load            64     0    56       8     
789    902    load            32     0    19       13    
790    903    sext            64     0    51       13    
791    904    load            64     0    49       15    
792    905    getelementptr   64     0    46       18    
793    906    load            8      0    0        8     
794    907    sext            32     0    0        32    
795    908    icmp            1      0    0        1     
796    912    load            32     0    31       1     
797    913    sext            64     0    63       1     
798    914    load            64     0    63       1     
799    915    getelementptr   64     0    63       1     
800    916    load            8      0    8        0     
801    917    sext            32     0    8        24    
802    480    alloca          64     0    52       12    
803    481    trunc           8      0    8        0     
804    483    load            8      0    8        0     
805    484    sext            32     0    32       0     
806    485    icmp            1      0    1        0     
