cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
449    47     and             64     8    0        56    
450    48     add             64     8    0        56    
451    49     trunc           8      8    0        0     
452    50     load            64     15   49       0     
453    51     getelementptr   64     15   49       0     
454    54     load            32     1    0        31    
455    55     srem            32     1    0        31    
456    56     icmp            1      1    0        0     
457    38     load            32     8    24       0     
458    39     add             32     8    24       0     
459    41     icmp            1      1    0        0     
460    43     load            64     1    0        63    
461    44     load            32     5    0        27    
462    45     zext            64     5    0        59    
463    46     ashr            64     1    0        63    
464    47     and             64     8    0        56    
465    48     add             64     8    0        56    
466    49     trunc           8      8    0        0     
467    50     load            64     12   52       0     
468    51     getelementptr   64     15   49       0     
469    54     load            32     1    0        31    
470    55     srem            32     1    0        31    
471    56     icmp            1      1    0        0     
472    38     load            32     8    24       0     
473    39     add             32     8    24       0     
474    41     icmp            1      1    0        0     
475    43     load            64     1    0        63    
476    44     load            32     5    0        27    
477    45     zext            64     5    0        59    
478    46     ashr            64     1    0        63    
479    47     and             64     8    0        56    
480    48     add             64     8    0        56    
481    49     trunc           8      8    0        0     
482    50     load            64     14   50       0     
483    51     getelementptr   64     1    48       15    
484    54     load            32     0    0        32    
485    55     srem            32     0    0        32    
486    56     icmp            1      0    0        1     
487    58     load            32     32   0        0     
488    59     icmp            1      1    0        0     
489    38     load            32     7    25       0     
490    39     add             32     0    1        31    
491    41     icmp            1      1    0        0     
492    67     load            64     1    49       14    
493    84     load            64     64   0        0     
494    85     getelementptr   64     15   49       0     
495    86     call            32     0    0        32    
496    88     load            64     63   1        0     
497    89     add             64     63   1        0     
498    76     load            64     59   0        5     
499    77     icmp            1      1    0        0     
500    79     getelementptr   64     16   48       0     
501    80     load            64     4    0        60    
502    81     load            64     8    24       32    
503    82     trunc           32     8    24       0     
504    0      alloca          64     2    49       13    
505    1      alloca          64     3    52       9     
506    2      alloca          64     3    50       11    
507    3      alloca          64     4    50       10    
508    4      alloca          64     1    50       13    
509    5      alloca          64     3    52       9     
510    10     load            32     8    24       0     
511    11     load            32     32   0        0     
512    12     load            32     29   1        2     
513    13     ashr            32     32   0        0     
514    14     add             32     32   0        0     
515    15     load            32     2    0        30    
516    16     srem            32     32   0        0     
517    17     icmp            1      1    0        0     
518    18     select          32     8    24       0     
519    19     sub             32     32   0        0     
520    20     sub             32     8    24       0     
521    24     load            32     27   0        5     
522    25     load            32     1    0        31    
523    26     icmp            1      1    0        0     
524    28     load            64     11   53       0     
525    29     getelementptr   64     12   52       0     
526    33     load            32     31   1        0     
527    34     add             32     31   1        0     
528    24     load            32     27   0        5     
529    25     load            32     1    0        31    
530    26     icmp            1      1    0        0     
531    28     load            64     15   49       0     
532    29     getelementptr   64     14   50       0     
533    33     load            32     31   1        0     
534    34     add             32     31   1        0     
535    24     load            32     27   0        5     
536    25     load            32     1    0        31    
537    26     icmp            1      1    0        0     
538    28     load            64     12   52       0     
539    29     getelementptr   64     14   50       0     
540    33     load            32     31   1        0     
541    34     add             32     31   1        0     
542    24     load            32     27   0        5     
543    25     load            32     1    0        31    
544    26     icmp            1      1    0        0     
545    28     load            64     14   50       0     
546    29     getelementptr   64     13   51       0     
547    33     load            32     31   1        0     
548    34     add             32     31   1        0     
549    24     load            32     28   0        4     
550    25     load            32     2    0        30    
551    26     icmp            1      1    0        0     
552    28     load            64     14   50       0     
553    29     getelementptr   64     15   49       0     
554    33     load            32     31   1        0     
555    34     add             32     31   1        0     
556    24     load            32     28   0        4     
557    25     load            32     2    0        30    
558    26     icmp            1      1    0        0     
559    28     load            64     14   50       0     
560    29     getelementptr   64     14   50       0     
561    33     load            32     31   1        0     
562    34     add             32     31   1        0     
563    24     load            32     28   0        4     
564    25     load            32     2    0        30    
565    26     icmp            1      1    0        0     
566    28     load            64     12   52       0     
567    29     getelementptr   64     14   50       0     
568    33     load            32     31   1        0     
569    34     add             32     31   1        0     
570    24     load            32     28   0        4     
571    25     load            32     2    0        30    
572    26     icmp            1      1    0        0     
573    28     load            64     10   54       0     
574    29     getelementptr   64     14   50       0     
575    33     load            32     31   1        0     
576    34     add             32     31   1        0     
577    24     load            32     28   0        4     
578    25     load            32     3    0        29    
579    26     icmp            1      1    0        0     
580    28     load            64     14   50       0     
581    29     getelementptr   64     12   52       0     
582    33     load            32     31   1        0     
583    34     add             32     31   1        0     
584    24     load            32     28   0        4     
585    25     load            32     3    0        29    
586    26     icmp            1      1    0        0     
587    28     load            64     15   49       0     
588    29     getelementptr   64     15   49       0     
589    33     load            32     31   1        0     
590    34     add             32     31   1        0     
591    24     load            32     28   0        4     
592    25     load            32     3    0        29    
593    26     icmp            1      1    0        0     
594    28     load            64     13   51       0     
595    29     getelementptr   64     13   51       0     
596    33     load            32     31   1        0     
597    34     add             32     31   1        0     
598    24     load            32     28   0        4     
599    25     load            32     3    0        29    
600    26     icmp            1      1    0        0     
601    28     load            64     14   50       0     
602    29     getelementptr   64     13   51       0     
603    33     load            32     3    1        28    
604    34     add             32     2    1        29    
605    24     load            32     3    0        29    
606    25     load            32     29   0        3     
607    26     icmp            1      1    0        0     
608    38     load            32     8    24       0     
609    39     add             32     8    24       0     
610    41     icmp            1      1    0        0     
611    43     load            64     1    0        63    
612    44     load            32     1    0        31    
613    45     zext            64     1    0        63    
614    46     ashr            64     1    0        63    
615    47     and             64     8    0        56    
616    48     add             64     8    0        56    
617    49     trunc           8      8    0        0     
618    50     load            64     15   49       0     
619    51     getelementptr   64     13   51       0     
620    54     load            32     0    0        32    
621    55     srem            32     0    0        32    
622    56     icmp            1      1    0        0     
623    38     load            32     8    24       0     
624    39     add             32     8    24       0     
625    41     icmp            1      1    0        0     
626    43     load            64     1    0        63    
627    44     load            32     6    0        26    
628    45     zext            64     6    0        58    
629    46     ashr            64     1    0        63    
630    47     and             64     8    0        56    
631    48     add             64     8    0        56    
632    49     trunc           8      8    0        0     
633    50     load            64     14   50       0     
634    51     getelementptr   64     15   49       0     
635    54     load            32     1    0        31    
636    55     srem            32     1    0        31    
637    56     icmp            1      1    0        0     
638    38     load            32     8    24       0     
639    39     add             32     8    24       0     
640    41     icmp            1      1    0        0     
641    43     load            64     1    0        63    
642    44     load            32     0    0        32    
643    45     zext            64     0    0        64    
644    46     ashr            64     1    0        63    
645    47     and             64     8    0        56    
646    48     add             64     8    0        56    
647    49     trunc           8      8    0        0     
648    50     load            64     17   47       0     
649    51     getelementptr   64     13   51       0     
650    54     load            32     1    0        31    
651    55     srem            32     1    0        31    
652    56     icmp            1      1    0        0     
653    38     load            32     8    24       0     
654    39     add             32     8    24       0     
655    41     icmp            1      1    0        0     
656    43     load            64     1    0        63    
657    44     load            32     1    0        31    
658    45     zext            64     1    0        63    
659    46     ashr            64     1    0        63    
660    47     and             64     8    0        56    
661    48     add             64     8    0        56    
662    49     trunc           8      8    0        0     
663    50     load            64     15   49       0     
664    51     getelementptr   64     1    50       13    
665    54     load            32     0    0        32    
666    55     srem            32     0    0        32    
667    56     icmp            1      0    0        1     
668    58     load            32     32   0        0     
669    59     icmp            1      1    0        0     
670    38     load            32     7    25       0     
671    39     add             32     0    1        31    
672    41     icmp            1      1    0        0     
673    67     load            64     0    51       13    
674    84     load            64     64   0        0     
675    85     getelementptr   64     16   48       0     
676    86     call            32     0    0        32    
677    88     load            64     63   1        0     
678    89     add             64     63   1        0     
679    76     load            64     59   0        5     
680    77     icmp            1      1    0        0     
681    79     getelementptr   64     15   49       0     
682    80     load            64     5    0        59    
683    81     load            64     8    24       32    
684    82     trunc           32     8    24       0     
685    0      alloca          64     1    53       10    
686    1      alloca          64     2    51       11    
687    2      alloca          64     4    53       7     
688    3      alloca          64     4    52       8     
689    4      alloca          64     1    51       12    
690    5      alloca          64     2    52       10    
691    10     load            32     8    24       0     
692    11     load            32     32   0        0     
693    12     load            32     29   1        2     
694    13     ashr            32     32   0        0     
695    14     add             32     32   0        0     
696    15     load            32     1    0        31    
697    16     srem            32     1    0        31    
698    17     icmp            1      1    0        0     
699    18     select          32     8    24       0     
700    19     sub             32     32   0        0     
701    20     sub             32     8    24       0     
702    24     load            32     27   0        5     
703    25     load            32     1    0        31    
704    26     icmp            1      1    0        0     
705    28     load            64     15   49       0     
706    29     getelementptr   64     17   47       0     
707    33     load            32     31   1        0     
708    34     add             32     31   1        0     
709    24     load            32     27   0        5     
710    25     load            32     1    0        31    
711    26     icmp            1      1    0        0     
712    28     load            64     13   51       0     
713    29     getelementptr   64     13   51       0     
