cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
303    51     load            32     31   1        0     
304    52     add             32     31   1        0     
305    26     load            32     27   0        5     
306    27     load            32     2    0        30    
307    28     icmp            1      1    0        0     
308    30     load            32     12   20       0     
309    31     sub             32     13   19       0     
310    32     sext            64     11   51       2     
311    33     getelementptr   64     16   48       0     
312    34     load            32     32   0        0     
313    35     load            32     12   20       0     
314    36     sub             32     12   20       0     
315    37     sext            64     12   50       2     
316    38     getelementptr   64     15   49       0     
317    39     load            32     32   0        0     
318    40     add             32     32   0        0     
319    41     load            32     11   21       0     
320    42     sext            64     10   52       2     
321    43     getelementptr   64     17   47       0     
322    45     load            32     12   20       0     
323    46     sext            64     11   51       2     
324    47     getelementptr   64     15   49       0     
325    48     load            32     32   0        0     
326    49     call            32     0    0        32    
327    51     load            32     31   1        0     
328    52     add             32     31   1        0     
329    26     load            32     27   0        5     
330    27     load            32     2    0        30    
331    28     icmp            1      1    0        0     
332    30     load            32     11   21       0     
333    31     sub             32     12   20       0     
334    32     sext            64     12   50       2     
335    33     getelementptr   64     14   50       0     
336    34     load            32     32   0        0     
337    35     load            32     11   21       0     
338    36     sub             32     12   20       0     
339    37     sext            64     12   50       2     
340    38     getelementptr   64     15   49       0     
341    39     load            32     32   0        0     
342    40     add             32     32   0        0     
343    41     load            32     11   21       0     
344    42     sext            64     11   51       2     
345    43     getelementptr   64     16   48       0     
346    45     load            32     12   20       0     
347    46     sext            64     12   50       2     
348    47     getelementptr   64     14   50       0     
349    48     load            32     32   0        0     
350    49     call            32     0    0        32    
351    51     load            32     31   1        0     
352    52     add             32     31   1        0     
353    26     load            32     26   0        6     
354    27     load            32     2    0        30    
355    28     icmp            1      1    0        0     
356    30     load            32     12   20       0     
357    31     sub             32     12   20       0     
358    32     sext            64     12   50       2     
359    33     getelementptr   64     15   49       0     
360    34     load            32     32   0        0     
361    35     load            32     12   20       0     
362    36     sub             32     11   21       0     
363    37     sext            64     12   50       2     
364    38     getelementptr   64     15   49       0     
365    39     load            32     32   0        0     
366    40     add             32     32   0        0     
367    41     load            32     11   21       0     
368    42     sext            64     11   51       2     
369    43     getelementptr   64     15   49       0     
370    45     load            32     11   21       0     
371    46     sext            64     11   51       2     
372    47     getelementptr   64     15   49       0     
373    48     load            32     32   0        0     
374    49     call            32     0    0        32    
375    51     load            32     31   1        0     
376    52     add             32     31   1        0     
377    26     load            32     26   0        6     
378    27     load            32     2    0        30    
379    28     icmp            1      1    0        0     
380    30     load            32     12   20       0     
381    31     sub             32     11   21       0     
382    32     sext            64     11   51       2     
383    33     getelementptr   64     15   49       0     
384    34     load            32     32   0        0     
385    35     load            32     11   21       0     
386    36     sub             32     12   20       0     
387    37     sext            64     12   50       2     
388    38     getelementptr   64     17   47       0     
389    39     load            32     32   0        0     
390    40     add             32     32   0        0     
391    41     load            32     11   21       0     
392    42     sext            64     10   52       2     
393    43     getelementptr   64     15   49       0     
394    45     load            32     11   21       0     
395    46     sext            64     12   50       2     
396    47     getelementptr   64     16   48       0     
397    48     load            32     32   0        0     
398    49     call            32     0    0        32    
399    51     load            32     31   1        0     
400    52     add             32     31   1        0     
401    26     load            32     26   0        6     
402    27     load            32     2    0        30    
403    28     icmp            1      1    0        0     
404    30     load            32     11   21       0     
405    31     sub             32     12   20       0     
406    32     sext            64     12   50       2     
407    33     getelementptr   64     14   50       0     
408    34     load            32     32   0        0     
409    35     load            32     11   21       0     
410    36     sub             32     12   20       0     
411    37     sext            64     12   50       2     
412    38     getelementptr   64     16   48       0     
413    39     load            32     32   0        0     
414    40     add             32     32   0        0     
415    41     load            32     12   20       0     
416    42     sext            64     11   51       2     
417    43     getelementptr   64     15   49       0     
418    45     load            32     11   21       0     
419    46     sext            64     11   51       2     
420    47     getelementptr   64     14   49       1     
421    48     load            32     32   0        0     
422    49     call            32     0    0        32    
423    51     load            32     31   1        0     
424    52     add             32     31   1        0     
425    26     load            32     26   0        6     
426    27     load            32     2    0        30    
427    28     icmp            1      1    0        0     
428    30     load            32     11   21       0     
429    31     sub             32     11   21       0     
430    32     sext            64     13   49       2     
431    33     getelementptr   64     15   49       0     
432    34     load            32     32   0        0     
433    35     load            32     12   20       0     
434    36     sub             32     11   21       0     
435    37     sext            64     11   51       2     
436    38     getelementptr   64     17   47       0     
437    39     load            32     32   0        0     
438    40     add             32     32   0        0     
439    41     load            32     12   20       0     
440    42     sext            64     11   51       2     
441    43     getelementptr   64     16   48       0     
442    45     load            32     12   20       0     
443    46     sext            64     11   51       2     
444    47     getelementptr   64     14   50       0     
445    48     load            32     32   0        0     
446    49     call            32     0    0        32    
447    51     load            32     31   1        0     
448    52     add             32     31   1        0     
449    26     load            32     26   0        6     
450    27     load            32     2    0        30    
451    28     icmp            1      1    0        0     
452    30     load            32     12   20       0     
453    31     sub             32     11   21       0     
454    32     sext            64     11   51       2     
455    33     getelementptr   64     17   47       0     
456    34     load            32     32   0        0     
457    35     load            32     13   19       0     
458    36     sub             32     12   20       0     
459    37     sext            64     11   51       2     
